Title,Year,Genre,Director,Cast,Languages,Plot
Sorority House Massacre II,1990.0,Horror,Jim Wynorski,"Gail Harris,Melissa Moore,Peter Spellos,Stacia Zhivago,Barbii",English,"Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem."
Rocky III,1982.0,Action|Drama,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Mr. T",English,"Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring, until Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed for a rematch with Lang."
Parallel Sons,1995.0,Drama|Romance,John G. Young,"Gabriel Mann,Laurence Mason,Murphy Guyer,Graham Alex Johnson,Heather Gottlieb",English,"Seth is a youth with artistic leanings, a fascination with Black pop culture, and a dead-end life in an Adirondack village. He's alternatively sensitive and brutal with Kristen, who wants a sexual relationship that he explosively rejects. Late one night, as he's closing the cafe where he works, a young Black man attempts to rob him at gun point but faints from illness. Seth takes the man, Knowledge, an escapee from a nearby prison, to a family cabin where he nurses him and they begin a tentative friendship. When the sheriff learns of Seth's harboring a fugitive, a confrontation looms. Relationships between fathers and their children dominate the subplots."
Hoodlum,1997.0,Crime|Drama|Film-Noir,Bill Duke,"Laurence Fishburne,Tim Roth,Vanessa Williams,Andy García,Cicely Tyson",English,"In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster."
Asfour Stah,1990.0,Drama,Férid Boughedir,"Selim Boughedir,Mustafa Adouani,Rabia Ben Abdallah,Mohammed Driss,Hélène Catzaras",العربية,"Twelve-year-old Noura dangles uncertainly in that difficult netherworld between childhood and adulthood. His growing libido has gotten him banned from the women's baths, where his mother took him when he was younger, but he's not yet old enough to participate in grown-up discussions with the men of his Tunisian village. Noura's only real friend is a troublemaker named Salih -- the village political outcast."
Gladiator,2000.0,Action|Drama,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris",English,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
"Mighty Ducks, The",1992.0,Children's|Comedy,Stephen Herek,"Emilio Estevez,Joss Ackland,Lane Smith,Heidi Kling,Josef Sommer",English,"After reckless young lawyer Gordon Bombay gets arrested for drunk driving, he must coach a kids hockey team for his community service. Gordon has experience on the ice, but isn't eager to return to hockey, a point hit home by his tense dealings with his own former coach, Jack Reilly. The reluctant Gordon eventually grows to appreciate his team, which includes promising young Charlie Conway, and leads them to take on Reilly's tough players."
In the Realm of the Senses (Ai no corrida),1976.0,Drama,Nagisa Ōshima,"Tatsuya Fuji,Eiko Matsuda,Aoi Nakajima,Meika Seri,Mariko Abe",日本語,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship."
Naturally Native,1999.0,Drama,"Valerie Red-Horse,Jennifer Wynne Farmer","Valerie Red-Horse,Yvonne Russo,Irene Bedard,Kimberly Guerrero,Pato Hoffmann",English,"Naturally Native follows the lives, loves, pain, joy and relationships of three sisters as they attempt to start their own business. Of American Indian ancestry, but adopted by white foster parents as young children, each sister has her own identity issues and each has chosen a very different career path. Now dedicated to starting a Native cosmetic business, they attempt to overcome obstacles both in the business world and in the home. A touching love story of family and culture, Naturally Native also interweaves a subtle, but strong wake-up call regarding the treatment of Native people in corporate America. Naturally Native also provides some insight into tribal infrastructure and gaming issues."
Shadows (Cienie),1988.0,Drama,Jerzy Kaszubowski,"Marzena Trybała,Eugeniusz Kujawski,Bogusław Linda,Jerzy Bińczycki,Sława Kwaśniewska","English,Deutsch,Polski","During the Second World War, tens of thousands of blonde, blue-eyed Polish children were snatched from their parents and given to German families. Lebensborn was part of Hitler's plan to expand the Aryan master race within the Third Reich. Eight-year old Jerzy returns home at the end of the war to a joyful reunion with his long-lost mother and grandfather. But problems arise as he is taunted by his peers and, longing for his missing father, burns with resentment for his new communist stepfather."
Jeremiah Johnson,1972.0,Western,Sydney Pollack,"Robert Redford,Will Geer,Delle Bolton,Josh Albee,Joaquín Martínez",English,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-to-one combat on the early frontier.
Fever Pitch,1997.0,Comedy|Romance,David Evans,"Colin Firth,Ruth Gemmell,Mark Strong,Holly Aird,Ken Stott",English,"A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenal's roller coaster fortunes in the football league, both leading to a nail biting climax."
I Know What You Did Last Summer,1997.0,Horror|Mystery|Thriller,Jim Gillespie,"Jennifer Love Hewitt,Sarah Michelle Gellar,Freddie Prinze Jr.,Ryan Phillippe,Bridgette Wilson-Sampras",English,"After four high school friends are involved in a hit-and-run road accident, they dispose of the body and vow to keep the incident a secret. A year later, they each start receiving anonymous letters bearing the warning ""I Know What You Did Last Summer."""
Beefcake,1998.0,Drama,Thom Fitzgerald,"Daniel MacIvor,Joshua Peace,Jack Griffin Mazeika,Carroll Godsman,Jonathan Torrens",English,"A look at the 1950s muscle men's magazines and the representative industry which were popular supposedly as health and fitness magazines, but were in reality primarily being purchased by the still-underground homosexual community. Chief among the purveyors of this literature was Bob Mizer, who maintained a magazine and developed sexually inexplicit men's films for over 40 years. Aided by his mother, the two maintained a stable of not so innocent studs."
Touki Bouki (Journey of the Hyena),1973.0,Drama,Djibril Diop Mambéty,"Magaye Niang,Myriam Niang,Christoph Colomb,Mustapha Ture,Aminata Fall","العربية,Français,Wolof","A cowherd with a skull-mounted motorcycle and a university student meet in Dakar; put off by life in Senegal, they plan to make money in Paris.  Screened at the Cannes Film Festival in 1973, Mambéty's film tells the story of Mory (Magaye Niang), a cow herder and Anta (Myriam Niang), a student, attempting to break free from their situation of circumstance. Steadily raising petty cash in order to save to go to Paris and leave their old lives behind, the film is a pertinent study of contemporary Senegal, which boasts an important narrative as well as a revolutionary approach to filmmaking."
Inherit the Wind,1960.0,Drama,Stanley Kramer,"Spencer Tracy,Fredric March,Gene Kelly,Dick York,Donna Anderson","English,Italiano","Schoolteacher Bertram Cates is arrested for teaching his students Darwin's theory of evolution. The case receives national attention and one of the newspaper reporters, E.K. Hornbeck, arranges to bring in renowned defense attorney and atheist Henry Drummond to defend Cates. The prosecutor, Matthew Brady is a former presidential candidate, famous evangelist, and old adversary of Drummond."
Solar Crisis,1990.0,Sci-Fi|Thriller,"Richard C. Sarafian,Alan Smithee","Tim Matheson,Charlton Heston,Peter Boyle,Annabel Schofield,Corin Nemec",English,A huge solar flare is predicted to fry the Earth. Astronauts aboard the spaceship Helios must go to the Sun to drop a bomb equipped with an Artificial Intelligence and a Japanese pilot at the right time so the flare will point somewhere else.
Wes Craven's New Nightmare,1994.0,Horror,Wes Craven,"Heather Langenkamp,Robert Englund,Miko Hughes,Wes Craven,David Newsom",English,A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather Langenkamp play the part of Nancy one last time and trap the evil trying to enter our world?
"20,000 Leagues Under the Sea",1954.0,Adventure|Children's|Fantasy|Sci-Fi,Richard Fleischer,"Kirk Douglas,James Mason,Paul Lukas,Peter Lorre,Robert J. Wilke",English,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
Beautiful,2000.0,Comedy|Drama,Sally Field,"Minnie Driver,Joey Lauren Adams,Hallie Eisenberg,Kathleen Turner,Leslie Stefanson",English,"Determined to win the Miss American Miss pageant, Mona is ready to sacrifice anything and everything to guarantee herself the crown including her own daughter! She manages to persuade her best bud to raise the kid as her own (Miss AM can't be a mom), but just when this beauty-queen wannabe thinks her prize is in sight, she's surprised by a come-from-behind competitor. Love."
"Journey of Natty Gann, The",1985.0,Adventure|Children's,Jeremy Kagan,"Meredith Salenger,John Cusack,Ray Wise,Jed,Lainie Kazan",English,"America is in the depths of the Great Depression. Families drift apart when faraway jobs beckon. A courageous young girl confronts overwhelming odds when she embarks on a cross-country search for her father. During her odyssey, she forms a close bond with two diverse traveling companions: a magnificent, protective wolf, and a hardened drifter."
"Broken Hearts Club, The",2000.0,Drama,Greg Berlanti,"Timothy Olyphant,Zach Braff,Ben Weber,Dean Cain,Billy Porter",English,"A close-knit group of gay friends share the emotional roller coster of life, relationships, the death of friends, new beginnings, jealousy, fatherhood and professional success. At various stages of life's disarray, these young men share humorous and tragic relationships and always have each other to rely on."
Annie Hall,1977.0,Comedy|Romance,Woody Allen,"Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon","English,Deutsch",New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
"Mrs. Brown (Her Majesty, Mrs. Brown)",1997.0,Drama|Romance,John Madden,"Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher,Gerard Butler",English,"When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown. But their relationship also brings scandal and turmoil to the monarchy."
"League of Their Own, A",1992.0,Comedy|Drama,Penny Marshall,"Tom Hanks,Geena Davis,Madonna,Lori Petty,Rosie O'Donnell",English,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey. Competitive sisters Dottie Hinson and Kit Keller spar with each other, scout Ernie Capadino and grumpy has-been coach Jimmy Dugan on their way to fame."
Human Traffic,1999.0,Drama,Justin Kerrigan,"John Simm,Shaun Parkes,Nicola Reynolds,Lorraine Pilkington,Danny Dyer",English,"Five twenty-something friends spend a drug-fueled weekend in Cardiff, Wales."
"Butcher Boy, The",1998.0,Drama,Neil Jordan,"Eamonn Owens,Alan Boyle,Fiona Shaw,Stephen Rea,Ian Hart","Gaeilge,English","Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences."
While You Were Sleeping,1995.0,Comedy|Romance,Jon Turteltaub,"Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle,Jack Warden",English,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be."
Virtuosity,1995.0,Sci-Fi|Thriller,Brett Leonard,"Denzel Washington,Russell Crowe,Kelly Lynch,Alanna Ubach,William Forsythe",English,"The Law Enforcement Technology Advancement Centre (LETAC) has developed SID version 6.7: a Sadistic, Intelligent, and Dangerous virtual reality entity which is synthesized from the personalities of more than 150 serial killers, and only one man can stop him."
"Misérables, Les",1995.0,Drama|Musical,Claude Lelouch,"Jean-Paul Belmondo,Michel Boujenah,Alessandra Martines,Salomé Lelouch,Annie Girardot",Français,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
Quiz Show,1994.0,Drama,Robert Redford,"Ralph Fiennes,Rob Morrow,John Turturro,David Paymer,Hank Azaria",English,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes."
Halloween III: Season of the Witch,1982.0,Horror,Tommy Lee Wallace,"Tom Atkins,Stacey Nelkin,Dan O'Herlihy,Michael Currie,Ralph Strait",English,"Dr. Dan Challis and murder victim daughter Ellie Grimbridge uncover a terrible plot by small-town mask maker Conal Cochran, a madman planning a Halloween mass murder utilizing an ancient Celtic ritual. The ritual involves a boulder stolen from Stonehenge, the use of Silver Shamrock masks, and a triggering device contained in a television commercial — all designed to kill millions of children."
Lethal Weapon,1987.0,Action|Comedy|Crime|Drama,Richard Donner,"Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,Tom Atkins",English,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring."
I Got the Hook Up,1998.0,Comedy,Michael Martin,"Master P,Anthony Johnson,Gretchen Palmer,Ice Cube,Tommy Lister Jr.","English,Español","Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI."
Autumn Heart,1999.0,Drama,Steven Maler,"Tyne Daly,Marla Sucharetza,Marceline Hugot,Ally Sheedy,Davidlee Willson",English,"When a school bus driving woman (Tyne Daly) has a heart attack, she makes one request of her three daughters (Ally Sheedy, Marla Sucharetza, Marceline Hugo) - she wants them to find their long lost brother, who was taken away by their father (Jack Davidson) 16 years ago. What they discover is that while they have struggled, their father has become a wealthy man and their brother is in school at Harvard."
Barry Lyndon,1975.0,Drama,Stanley Kubrick,"Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Diana Körner","Deutsch,Français,English","An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon."
"Savage Nights (Nuits fauves, Les)",1992.0,Drama,Cyril Collard,"Cyril Collard,Romane Bohringer,Carlos López,Corine Blue,Claude Winter","Français,Español","Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura, does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy."
"Graduate, The",1967.0,Drama|Romance,Mike Nichols,"Anne Bancroft,Dustin Hoffman,Katharine Ross,Murray Hamilton,William Daniels",English,"Benjamin, a recent college graduate very worried about his future, finds himself in a love triangle with an older woman and her daughter."
Amadeus,1984.0,Drama,Miloš Forman,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,Simon Callow","English,Deutsch,Italiano,Latin","Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men."
"Black Hole, The",1979.0,Sci-Fi,Gary Nelson,"Maximilian Schell,Anthony Perkins,Robert Forster,Joseph Bottoms,Yvette Mimieux",English,"The explorer craft USS Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the USS Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, but the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans."
"Young Poisoner's Handbook, The",1995.0,Crime,Benjamin Ross,"Hugh O'Conor,Antony Sher,Ruth Sheen,Roger Lloyd Pack,Charlotte Coleman",English,"Graham Young is a teenage misfit living in suburban London in the 1960s. He hates his stepmother but loves chemistry, and the two impulses unite in a wicked plot to slowly poison her. After she dies, he's found guilty and sent to a psychiatric hospital, where an idealistic doctor thinks he can be cured."
Forever Young,1992.0,Adventure|Romance|Sci-Fi,Steve Miner,"Mel Gibson,Jamie Lee Curtis,Elijah Wood,Isabel Glasser,George Wendt",English,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.
Anne Frank Remembered,1995.0,Documentary,Jon Blair,"Kenneth Branagh,Glenn Close",English,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift"
That's Life!,1986.0,Drama,Blake Edwards,"Jack Lemmon,Julie Andrews,Sally Kellerman,Robert Loggia,Jennifer Edwards","English,Italiano",A wealthy architect struggles with a severe case of male menopause at the approach of his 60th birthday.
Eaten Alive,1976.0,Horror,Tobe Hooper,"Neville Brand,Mel Ferrer,Carolyn Jones,Marilyn Burns,William Finley",English,"A psychotic redneck who owns a dilapidated hotel in the backwater swamps of Louisiana kills various people who upset him or his business, and he feeds their bodies to a large crocodile that he keeps as a pet in the swamp beside his hotel."
Halloween 4: The Return of Michael Myers,1988.0,Horror,Dwight H. Little,"Donald Pleasence,Danielle Harris,Ellie Cornell,George P. Wilbur,Michael Pataki",English,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path."
Urban Legend,1998.0,Horror|Thriller,Jamie Blanks,"Alicia Witt,Jared Leto,Rebecca Gayheart,Michael Rosenbaum,Loretta Devine",English,A college campus is plagued by a vicious serial killer murdering students in ways that correspond to various urban legends.
Happy Go Lovely,1951.0,Musical,H. Bruce Humberstone,"David Niven,Vera-Ellen,Cesar Romero,Gordon Jackson,Bobby Howes",English,"B.G. Bruno, a rich bachelor, the head of a successful greeting-card company in Scotland, is essentially a kind man but respectable to the point of stodginess and extreme stuffiness. An American troupe visiting Edinburgh wants to produce a musical in town but has trouble getting backers. Bruno meets several of the leading ladies of the show; through a misunderstanding he doesn't correct they think that he's a newspaper reporter. He falls in love with one of the women, who reciprocates; he grows more lively and friendly, to the surprise of his employees. After a series of mishaps and comic incidents comes a happy ending: a successful show and true love."
My Crazy Life (Mi vida loca),1994.0,Drama,Allison Anders,"Angel Aviles,Seidy López,Jacob Vargas,Devine,Monica Lutton","English,Español","Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named Ernesto, the two become bitter enemies. While their dispute escalates towards violence, the violence of the world around them soon also impacts their lives."
Magnolia,1999.0,Drama,Paul Thomas Anderson,"Jeremy Blackman,Tom Cruise,Melinda Dillon,April Grace,Luis Guzmán","English,Français,Deutsch","An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley."
Alice in Wonderland,1951.0,Animation|Children's|Musical,"Hamilton Luske,Wilfred Jackson,Clyde Geronimi","Kathryn Beaumont,Ed Wynn,Richard Haydn,Sterling Holloway,Jerry Colonna",English,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!"
Copycat,1995.0,Crime|Drama|Thriller,Jon Amiel,"Sigourney Weaver,Holly Hunter,Dermot Mulroney,William McNamara,Harry Connick Jr.","Deutsch,English,Italiano",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
"Long Walk Home, The",1990.0,Drama,Richard Pearce,"Sissy Spacek,Whoopi Goldberg,Dwight Schultz,Ving Rhames,Dylan Baker","Deutsch,English","Two women, black and white, in 1955 Montgomery Alabama, must decide what they are going to do in response to the famous bus boycott led by Martin Luther King."
"Kindred, The",1987.0,Horror,"Stephen Carpenter,Jeffrey Obrow","David Allen Brooks,Rod Steiger,Amanda Pays,Talia Balsam,Kim Hunter",English,"Amanda's deathbed request to her son, John, was for him to destroy all the lab notes etc. from her last experiment. She also blurts out he had a brother. At the funeral John meets Melissa, who claims to be his mother's biggest fan. Together with some of John's friends they go to Amanda's house, but none are prepared for what they find there."
Sabrina,1995.0,Comedy|Romance,Sydney Pollack,"Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood","English,Français","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
Love and Death on Long Island,1998.0,Comedy|Drama,Richard Kwietniowski,"John Hurt,Jason Priestley,Fiona Loewi,Sheila Hancock,Harvey Atkin","English,Français,Deutsch","Curmudgeonly author Giles De'Ath, a widower with a marked distaste for modern popular culture, attempts to buy a ticket for a film adaptation of an E.M. Forster novel, but instead finds himself watching a tacky teen sex comedy. Yet when the beautiful Ronnie Bostock appears on the movie screen, Giles finds himself caught in a whirlwind of unanswered questions about both his own sexuality and his place in late 20th-century society."
Problem Child,1990.0,Comedy,Dennis Dugan,"John Ritter,Jack Warden,Michael J. Oliver,Gilbert Gottfried,Amy Yasbeck","Español,English","Ben Healy and his social climbing wife Flo adopt fun-loving seven year old Junior. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares."
2010,1984.0,Mystery|Sci-Fi,Peter Hyams,"Roy Scheider,John Lithgow,Helen Mirren,Bob Balaban,Keir Dullea","English,Pусский","While planet Earth poises on the brink of nuclear self-destruction, a team of Russian and American scientists aboard the Leonov hurtles to a rendezvous with the still-orbiting Discovery spacecraft and its sole known survivor, the homicidal computer HAL."
Scream of Stone (Schrei aus Stein),1991.0,Drama,Werner Herzog,"Donald Sutherland,Brad Dourif,Vittorio Mezzogiorno,Mathilda May,Al Waxman","English,Español","A meeting of two world famous climbers, one an experienced mountaineer the other a sport climber, and a journalist (Ivan) results in a bet on which of the two is the best climber. Roger (the mountaineering expert) states that Martin (the sport climber) wouldn't survive a day on a 'real' climbing expedition, although he is considered to be the world's best sport climber (having just won an indoor 'world championship,' an event depicted in the opening scene). They plan to climb 'Cerro Torre,' in the Patagonia region of South America, near the Argentinian/Chilean border, one of the world's most difficult mountains, especially considering the extreme weather conditions common to the area."
Auntie Mame,1958.0,Comedy|Drama,Morton DaCosta,"Rosalind Russell,Forrest Tucker,Coral Browne,Fred Clark,Roger Smith","Français,English","Mame Dennis, a progressive and independent woman of the 1920s, is left to care for her nephew Patrick after his wealthy father dies. Conflict ensues when the executor of the father's estate objects to the aunt's lifestyle and tries to force her to send Patrick to prep school."
Tales From the Crypt Presents: Demon Knight,1995.0,Horror,Ernest R. Dickerson,"Billy Zane,William Sadler,Jada Pinkett Smith,CCH Pounder,Brenda Bakke",English,"Ex-soldier Frank Brayker is the guardian of an ancient key that can unlock tremendous evil; the sinister Collector is a demon who wants the key so he can initiate the apocalypse. On the run from wicked mercenaries for almost 90 years, Brayker finally stops in at a boarding house in New Mexico where — with the help of its residents — he plans to face off against the Collector and his band of ghouls, preventing them from ever seizing the key."
Network,1976.0,Comedy|Drama,Sidney Lumet,"Peter Finch,Faye Dunaway,William Holden,Robert Duvall,Beatrice Straight",English,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings."
"Outlaw, The",1943.0,Western,Howard Hughes,"Jack Buetel,Jane Russell,Thomas Mitchell,Walter Huston,Mimi Aguglia","English,Español","Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot."
Earth Vs. the Flying Saucers,1956.0,Sci-Fi,Fred F. Sears,"Hugh Marlowe,Joan Taylor,Donald Curtis,Morris Ankrum,Thomas Browne Henry",English,"Test space rockets exploding at liftoff and increased reporting of UFO sightings culminate in a direct attempt by alien survivors of a dead, extra-galactic civilization to invade Earth from impervious flying saucers, using ray-weapons of mass destruction."
"Loves of Carmen, The",1948.0,Drama,Charles Vidor,"Rita Hayworth,Glenn Ford,Ron Randell,Victor Jory,Luther Adler",English,"Gypsy Carmen drives men wild in 1820s Spain, especially the dragoon Don Jose."
"Other Side of Sunday, The (Søndagsengler)",1996.0,Comedy|Drama,Berit Nesheim,"Marie Theisen,Hildegun Riise,Bjørn Sundquist,Sylvia Salvesen,Ina Sofie Brodahl",Norsk,"The Other Side of Sunday, also known in Norwegian as ""Søndagsengler"", is a movie that criticizes the small, and often tight, church community. We follow the Preacher's Daughter, Maria, on her journey to liberate herself from the stiff church community and her father."
Belly,1998.0,Crime|Drama,Hype Williams,"DMX,Nas,Hassan Johnson,Taral Hicks,Tionne 'T-Boz' Watkins",English,"Tommy Bundy and Sincere are best friends as well as infamous and ruthless criminals and shot-callers in the hood. Respected by many but feared by all.  As the police are closing in on them and new players are looking for a come up, will their reign last?"
Anastasia,1997.0,Animation|Children's|Musical,"Gary Goldman,Don Bluth","Meg Ryan,John Cusack,Kelsey Grammer,Christopher Lloyd,Hank Azaria","English,Pусский,Français","In this animated, optimistic retelling of one of the greatest myths in history, the evil wizard Rasputin puts a hex on the royal Romanovs and young Anastasia is lost when their palace is overrun. Ten years later, the Grand Duchess offers a reward for Anastasia's return. Two scheming Russians, planning to pawn off a phony, hold auditions and choose an orphan girl with a remarkable resemblance to the missing princess. They bring her to Paris for the reward, unaware she's the real Anastasia."
Oscar and Lucinda (a.k.a. Oscar & Lucinda),1997.0,Drama|Romance,Gillian Armstrong,"Ralph Fiennes,Cate Blanchett,Ciarán Hinds,Tom Wilkinson,Richard Roxburgh","Français,English","After a childhood of abuse by his evangelistic father, misfit Oscar Hopkins becomes an Anglican minister and develops a divine obsession with gambling. Lucinda Leplastrier is a rich Australian heiress shopping in London for materials for her newly acquired glass factory back home. Deciding to travel to Australia as a missionary, Oscar meets Lucinda aboard ship, and a mutual obsession blossoms. They make a wager that will alter each of their destinies."
Lawrence of Arabia,1962.0,Adventure|War,David Lean,"Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif","العربية,English,Português,Türkçe","The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements."
Halloween: The Curse of Michael Myers,1995.0,Horror|Thriller,Joe Chappelle,"Donald Pleasence,Paul Rudd,Marianne Hagan,Mitchell Ryan,Kim Darby",English,"Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again."
"Faculty, The",1998.0,Horror|Sci-Fi,Robert Rodriguez,"Josh Hartnett,Elijah Wood,Clea DuVall,Jordana Brewster,Shawn Hatosy",English,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that their faculty is being controlled by body-snatching aliens."
